Código,Regiao,UF,Municipio,Possui Plano de Mobilidade Urbana,Ano de elaboracao,Aprovado em lei ou ato normativo,Instrumento Legal,Numero da Lei,Data da Lei
2702108,NE,AL,ColÃ´nia Leopoldina,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2702207,NE,AL,Coqueiro Seco,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2702306,NE,AL,Coruripe,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2702355,NE,AL,CraÃ­bas,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2702405,NE,AL,Delmiro Gouveia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2702504,NE,AL,Dois Riachos,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2702553,NE,AL,Estrela de Alagoas,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2702603,NE,AL,Feira Grande,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2702702,NE,AL,Feliz Deserto,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2702801,NE,AL,Flexeiras,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2702900,NE,AL,Girau do Ponciano,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2703007,NE,AL,Ibateguara,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2703106,NE,AL,Igaci,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2703205,NE,AL,Igreja Nova,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2703304,NE,AL,Inhapi,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2703403,NE,AL,JacarÃ© dos Homens,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2703502,NE,AL,JacuÃ­pe,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2703601,NE,AL,Japaratinga,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2703700,NE,AL,Jaramataia,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2703759,NE,AL,JequiÃ¡ da Praia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2703809,NE,AL,Joaquim Gomes,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2703908,NE,AL,JundiÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2704005,NE,AL,Junqueiro,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2704104,NE,AL,Lagoa da Canoa,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2704203,NE,AL,Limoeiro de Anadia,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2704302,NE,AL,MaceiÃ³,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2704401,NE,AL,Major Izidoro,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2704906,NE,AL,Mar Vermelho,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2704500,NE,AL,Maragogi,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2704609,NE,AL,Maravilha,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2704708,NE,AL,Marechal Deodoro,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2704807,NE,AL,Maribondo,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2705002,NE,AL,Mata Grande,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2705101,NE,AL,Matriz de Camaragibe,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2705200,NE,AL,Messias,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2705309,NE,AL,Minador do NegrÃ£o,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2705408,NE,AL,MonteirÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2705507,NE,AL,Murici,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2705606,NE,AL,Novo Lino,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2705705,NE,AL,Olho d'Ãgua das Flores,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2705804,NE,AL,Olho d'Ãgua do Casado,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2705903,NE,AL,Olho d'Ãgua Grande,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2706000,NE,AL,OlivenÃ§a,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2706109,NE,AL,Ouro Branco,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2706208,NE,AL,Palestina,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2706307,NE,AL,Palmeira dos Ãndios,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2706406,NE,AL,PÃ£o de AÃ§Ãºcar,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2706422,NE,AL,Pariconha,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2706448,NE,AL,Paripueira,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2706505,NE,AL,Passo de Camaragibe,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2706604,NE,AL,Paulo Jacinto,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2706703,NE,AL,Penedo,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2706802,NE,AL,PiaÃ§abuÃ§u,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2706901,NE,AL,Pilar,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2707008,NE,AL,Pindoba,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2707107,NE,AL,Piranhas,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2707206,NE,AL,PoÃ§o das Trincheiras,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2707305,NE,AL,Porto Calvo,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2707404,NE,AL,Porto de Pedras,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2707503,NE,AL,Porto Real do ColÃ©gio,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2707602,NE,AL,Quebrangulo,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2707701,NE,AL,Rio Largo,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2707800,NE,AL,Roteiro,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2707909,NE,AL,Santa Luzia do Norte,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2708006,NE,AL,Santana do Ipanema,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2708105,NE,AL,Santana do MundaÃº,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2708204,NE,AL,SÃ£o BrÃ¡s,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2708303,NE,AL,SÃ£o JosÃ© da Laje,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2708402,NE,AL,SÃ£o JosÃ© da Tapera,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2708501,NE,AL,SÃ£o LuÃ­s do Quitunde,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2708600,NE,AL,SÃ£o Miguel dos Campos,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2708709,NE,AL,SÃ£o Miguel dos Milagres,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2708808,NE,AL,SÃ£o SebastiÃ£o,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2708907,NE,AL,Satuba,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2708956,NE,AL,Senador Rui Palmeira,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2709004,NE,AL,Tanque d'Arca,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2709103,NE,AL,Taquarana,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2709152,NE,AL,TeotÃ´nio Vilela,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2709202,NE,AL,Traipu,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2709301,NE,AL,UniÃ£o dos Palmares,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2709400,NE,AL,ViÃ§osa,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1300029,N,AM,AlvarÃ£es,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1300060,N,AM,AmaturÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1300086,N,AM,AnamÃ£,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1300102,N,AM,Anori,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1300144,N,AM,ApuÃ­,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1300201,N,AM,Atalaia do Norte,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1300300,N,AM,Autazes,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1300409,N,AM,Barcelos,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1300508,N,AM,Barreirinha,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1300607,N,AM,Benjamin Constant,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1300631,N,AM,Beruri,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1300680,N,AM,Boa Vista do Ramos,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1300706,N,AM,Boca do Acre,Sim,2016,Sim,Lei Municipal,062/2016,23/06/2016
1300805,N,AM,Borba,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1300839,N,AM,Caapiranga,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1300904,N,AM,Canutama,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1301001,N,AM,Carauari,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1301100,N,AM,Careiro,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1301159,N,AM,Careiro da VÃ¡rzea,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1301209,N,AM,Coari,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1301308,N,AM,CodajÃ¡s,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1301407,N,AM,EirunepÃ©,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1301506,N,AM,Envira,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1301605,N,AM,Fonte Boa,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1301654,N,AM,GuajarÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1301704,N,AM,HumaitÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1301803,N,AM,Ipixuna,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1301852,N,AM,Iranduba,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1301902,N,AM,Itacoatiara,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1301951,N,AM,Itamarati,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1302009,N,AM,Itapiranga,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1302108,N,AM,JapurÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1302207,N,AM,JuruÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1302306,N,AM,JutaÃ­,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1302405,N,AM,LÃ¡brea,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1302504,N,AM,Manacapuru,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1302553,N,AM,Manaquiri,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1302603,N,AM,Manaus,Sim,2015,Sim,Lei Complementar,2.074/2015,28/12/2015
1302702,N,AM,ManicorÃ©,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1302801,N,AM,MaraÃ£,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1302900,N,AM,MauÃ©s,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1303007,N,AM,NhamundÃ¡,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1303106,N,AM,Nova Olinda do Norte,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1303205,N,AM,Novo AirÃ£o,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1303304,N,AM,Novo AripuanÃ£,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1303403,N,AM,Parintins,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1303502,N,AM,Pauini,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1303536,N,AM,Presidente Figueiredo,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1303569,N,AM,Rio Preto da Eva,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1303601,N,AM,Santa Isabel do Rio Negro,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1303700,N,AM,Santo AntÃ´nio do IÃ§Ã¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1303809,N,AM,SÃ£o Gabriel da Cachoeira,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1303908,N,AM,SÃ£o Paulo de OlivenÃ§a,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1303957,N,AM,SÃ£o SebastiÃ£o do UatumÃ£,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1304005,N,AM,Silves,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1304062,N,AM,Tabatinga,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1304104,N,AM,TapauÃ¡,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1304203,N,AM,TefÃ©,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1304237,N,AM,Tonantins,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1304260,N,AM,Uarini,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1304302,N,AM,UrucarÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1304401,N,AM,Urucurituba,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1600105,N,AP,AmapÃ¡,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1600204,N,AP,CalÃ§oene,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1600212,N,AP,Cutias do Araguari,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1600238,N,AP,Ferreira Gomes,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1600253,N,AP,Itaubal,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
1600279,N,AP,Laranjal do Jari,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1600303,N,AP,MacapÃ¡,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1600402,N,AP,MazagÃ£o,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1600501,N,AP,Oiapoque,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1600154,N,AP,Pedra Branca do Amapari,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1600535,N,AP,Porto Grande,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1600550,N,AP,PracuÃºba,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1600600,N,AP,Santana,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1600055,N,AP,Serra do Navio,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
1600709,N,AP,Tartarugalzinho,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
1600808,N,AP,VitÃ³ria do Jari,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2900108,NE,BA,AbaÃ­ra,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2900207,NE,BA,AbarÃ©,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2900306,NE,BA,Acajutiba,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2900355,NE,BA,Adustina,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2900405,NE,BA,Ãgua Fria,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2900603,NE,BA,Aiquara,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2900702,NE,BA,Alagoinhas,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2900801,NE,BA,AlcobaÃ§a,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2900900,NE,BA,Almadina,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2901007,NE,BA,Amargosa,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2901106,NE,BA,AmÃ©lia Rodrigues,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2901155,NE,BA,AmÃ©rica Dourada,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2901205,NE,BA,AnagÃ©,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2901304,NE,BA,AndaraÃ­,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2901353,NE,BA,Andorinha,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2901403,NE,BA,Angical,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2901502,NE,BA,Anguera,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2901601,NE,BA,Antas,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2901700,NE,BA,AntÃ´nio Cardoso,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2901809,NE,BA,AntÃ´nio GonÃ§alves,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2901908,NE,BA,AporÃ¡,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2901957,NE,BA,Apuarema,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2902054,NE,BA,AraÃ§as,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2902005,NE,BA,Aracatu,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2902104,NE,BA,Araci,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2902203,NE,BA,Aramari,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2902252,NE,BA,Arataca,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2902302,NE,BA,AratuÃ­pe,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2902401,NE,BA,Aurelino Leal,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2902500,NE,BA,BaianÃ³polis,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2902609,NE,BA,Baixa Grande,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2902658,NE,BA,BanzaÃª,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2902708,NE,BA,Barra,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2902807,NE,BA,Barra da Estiva,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2902906,NE,BA,Barra do ChoÃ§a,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2903003,NE,BA,Barra do Mendes,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2903102,NE,BA,Barra do Rocha,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2903201,NE,BA,Barreiras,Nao,,Nao possui plano,Nao possui plano,,Nao possui plano
2903235,NE,BA,Barro Alto,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2903300,NE,BA,Barro Preto,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2903276,NE,BA,Barrocas,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2903409,NE,BA,Belmonte,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2903508,NE,BA,Belo Campo,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2903607,NE,BA,Biritinga,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2903706,NE,BA,Boa Nova,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2903805,NE,BA,Boa Vista do Tupim,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2903904,NE,BA,Bom Jesus da Lapa,Nao respondeu,,Nao respondeu,Nao respondeu,,Nao respondeu
2903953,NE,BA,Bom Jesus da Serra,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2904001,NE,BA,Boninal,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
2904050,NE,BA,Bonito,Nao foi enviado oficio,,Nao foi enviado oficio,Nao foi enviado oficio,,Nao foi enviado oficio
